string,duration_1,duration_2,duration_3,duration_4,duration_5,duration_6,duration_7,duration_8,duration_9,duration_10,duration_11,duration_12,duration_13
TB,631,255,,,,,,,,,,,
XAQMCENJP,64,131,318,358,216,191,130,265,124,,,,
XAQAQ,116,117,430,165,876,,,,,,,,
XAQAQ,88,97,382,171,870,,,,,,,,
XAQAQ,86,82,396,175,393,,,,,,,,
XAQAQA,87,93,585,162,986,103,,,,,,,
SRPCB,138,110,255,216,374,,,,,,,,
XAQMCB,99,102,382,340,283,250,,,,,,,
XAQMCB,117,126,271,319,239,136,,,,,,,
XAQMCB,70,85,327,325,244,379,,,,,,,
XAQAQMCB,63,95,467,214,297,250,212,403,,,,,
T,803,,,,,,,,,,,,
XAQAQAQ,106,126,483,144,791,150,346,,,,,,
MSRPCB,244,112,107,312,224,397,,,,,,,
XAQAQAQAQMCB,122,160,746,157,856,172,475,193,539,291,274,351,
MSRP,281,152,134,305,,,,,,,,,
SHNJP,109,147,134,217,253,,,,,,,,
MUCENP,234,138,113,132,158,211,,,,,,,
MCB,553,236,216,,,,,,,,,,
XAQMCENP,64,143,450,353,182,135,132,247,,,,,
MSHNPCB,346,115,145,79,270,257,121,,,,,,
MSRPCB,209,125,89,144,245,342,,,,,,,
XAQMUCENJP,101,125,582,380,133,169,136,105,172,226,,,
MUCBPCB,298,128,292,858,199,221,514,,,,,,
TMCB,582,143,225,452,,,,,,,,,
XAQMCENP,95,165,565,323,224,113,109,174,,,,,
XAQMCENJP,65,127,256,334,268,116,111,216,243,,,,
XAQAQ,80,139,381,137,144,,,,,,,,
XAQMC,77,130,516,361,239,,,,,,,,
TB,690,1433,,,,,,,,,,,
MCBPC,533,278,251,124,27,,,,,,,,
SRMCB,110,181,314,231,218,,,,,,,,
XAQMUCENP,97,145,289,332,144,236,156,111,244,,,,
MSHNP,514,135,203,58,301,,,,,,,,
T,830,,,,,,,,,,,,
MSHNPCEJP,201,115,154,107,248,174,237,166,149,,,,
MSHNPCB,210,121,162,160,257,213,368,,,,,,
TMCENJP,437,154,204,139,109,176,180,,,,,,
MSRPCB,301,111,130,240,195,271,,,,,,,
TMCB,671,214,215,473,,,,,,,,,
XAQAQM,74,105,374,141,336,243,,,,,,,
MSHJP,264,123,209,203,194,,,,,,,,
XAQM,75,89,383,343,,,,,,,,,
MSHNPCENP,220,120,163,102,289,201,138,132,226,,,,
MSHP,247,118,206,233,,,,,,,,,
MUCB,322,177,269,485,,,,,,,,,
XAQMCB,82,120,226,329,239,311,,,,,,,
XAQAQ,64,103,451,191,126,,,,,,,,
XAQMCB,73,143,387,255,215,280,,,,,,,
MUMCB,304,161,179,215,401,,,,,,,,
MSHJP,227,130,204,211,222,,,,,,,,
QAQA,181,201,592,224,,,,,,,,,
XAQAQAQ,86,124,335,129,561,187,477,,,,,,
MUMCB,225,129,137,218,483,,,,,,,,
SRPCB,119,111,305,234,354,,,,,,,,
MUMCB,256,110,151,220,152,,,,,,,,
MUMCB,335,139,643,192,429,,,,,,,,
XAQMCB,64,105,288,314,198,297,,,,,,,
TUCBP,614,103,250,282,143,,,,,,,,
XAQMC,78,143,371,329,201,,,,,,,,
TMCB,527,129,261,393,,,,,,,,,
XAQM,98,131,424,337,,,,,,,,,
MTMCB,232,141,493,211,245,,,,,,,,
XAQMP,72,131,305,211,157,,,,,,,,
SRPUCENJP,141,110,311,136,182,117,112,221,190,,,,
T,813,,,,,,,,,,,,
UCB,102,241,521,,,,,,,,,,
MSRPCENP,212,93,107,313,189,134,153,276,,,,,
TMCB,500,163,239,793,,,,,,,,,
MSRPCB,211,90,112,240,211,75,,,,,,,
MUMCB,292,137,185,256,72,,,,,,,,
XAQAQ,78,103,344,140,417,,,,,,,,
MSHNP,209,95,160,112,229,,,,,,,,
MSHNP,221,101,200,113,289,,,,,,,,
MUMCB,251,140,211,195,905,,,,,,,,
XAQMTM,84,113,367,318,278,138,,,,,,,
XAQMCB,60,114,330,304,250,258,,,,,,,
MUMCB,319,121,721,213,493,,,,,,,,
XAQAQA,73,116,315,121,676,165,,,,,,,
XAQMCB,73,92,210,309,195,409,,,,,,,
XAQAMCB,71,95,280,207,308,209,568,,,,,,
MSHJP,416,124,220,137,164,,,,,,,,
TMCB,612,142,232,260,,,,,,,,,
MUMCB,349,130,161,250,264,,,,,,,,
XAQAQ,84,100,453,152,847,,,,,,,,
XAQAQA,62,89,442,185,643,159,,,,,,,
XAQAQAQ,73,110,270,154,828,193,810,,,,,,
XAQMCB,96,98,520,249,249,329,,,,,,,
MUM,333,159,533,,,,,,,,,,
XAQMCENJP,84,117,234,321,251,212,105,104,141,,,,
QAQ,260,174,1164,,,,,,,,,,
A,203,,,,,,,,,,,,
XAQAQAQ,132,100,399,168,742,207,639,,,,,,
TUCB,640,103,220,463,,,,,,,,,
XAQMCB,88,109,258,293,274,279,,,,,,,
XAQAQA,72,85,375,180,1320,211,,,,,,,
MUMCB,254,147,160,236,453,,,,,,,,
SRPCB,122,88,212,249,181,,,,,,,,
XAQMC,57,78,322,304,162,,,,,,,,
MSHP,249,116,199,317,,,,,,,,,
MUMCB,223,147,158,213,593,,,,,,,,
MCB,312,268,505,,,,,,,,,,
MSHJP,230,142,206,176,156,,,,,,,,
XAQM,99,99,411,185,,,,,,,,,
XAQAQ,98,133,321,145,745,,,,,,,,
XAQAQAQ,99,119,837,155,662,191,224,,,,,,
MUCENP,226,125,229,168,143,147,,,,,,,
MUMCB,245,160,143,239,391,,,,,,,,
XAQM,87,123,360,310,,,,,,,,,
MSHJP,300,113,210,221,195,,,,,,,,
XAQAQAQMCENJP,115,136,474,162,544,217,218,271,234,159,105,179,207
TMCB,592,130,244,480,,,,,,,,,
TUCENJP,618,101,233,129,135,220,153,,,,,,
SHPCB,118,133,297,282,503,,,,,,,,
TUCB,566,122,240,553,,,,,,,,,
MSRPCB,222,116,87,236,211,388,,,,,,,
XAQAQMCB,66,101,289,138,197,269,233,559,,,,,
TUCENJP,597,105,219,153,104,182,223,,,,,,
XAQMCB,90,102,254,285,261,244,,,,,,,
MSHNP,265,115,208,107,205,,,,,,,,
MUCB,278,139,229,466,,,,,,,,,
XAQMCB,72,99,215,306,276,251,,,,,,,
XAQAQAQ,74,127,684,178,787,171,281,,,,,,
MSRPC,270,123,113,264,268,,,,,,,,
MUMCENJP,242,131,138,215,154,123,152,283,,,,,
MSRPC,268,106,110,255,292,,,,,,,,
TUCB,627,113,232,1305,,,,,,,,,
XAQMCBM,86,136,231,310,319,271,278,,,,,,
MSHPG,234,105,184,306,116,,,,,,,,
MUMCENJP,239,163,151,288,138,105,139,215,,,,,
HPCENP,64,220,260,154,158,220,,,,,,,
XAQMCENJP,88,123,584,323,221,152,113,179,219,,,,
XAQAQAQ,101,128,687,182,709,170,253,,,,,,
MUMCB,288,137,193,477,857,,,,,,,,
TMCENJP,465,227,240,150,108,215,196,,,,,,
MSHNP,218,104,187,105,385,,,,,,,,
SRNPCENJP,118,111,165,273,124,150,134,171,208,,,,
MSHNP,254,102,191,105,242,,,,,,,,
XAQMCB,103,107,342,320,214,444,,,,,,,
TMCB,594,129,240,408,,,,,,,,,
XAQMCENJP,70,117,226,312,201,170,112,158,109,,,,
XAQAQMUCB,73,106,293,164,263,249,156,223,282,,,,
XAQAQMCB,73,126,400,227,214,235,265,293,,,,,
MSHJP,414,101,164,131,167,,,,,,,,
MUMCB,314,133,159,229,268,,,,,,,,
TMCB,554,130,229,383,,,,,,,,,
MSRPCENP,222,103,129,257,199,152,166,149,,,,,
XAQMCENP,73,151,501,360,102,156,107,250,,,,,
MUTMCB,257,135,93,333,260,462,,,,,,,
TUCB,617,116,271,440,,,,,,,,,
MSHJP,278,108,208,134,223,,,,,,,,
MSHPCB,401,116,217,342,206,579,,,,,,,
MT,444,590,,,,,,,,,,,
XAQAQ,77,120,303,185,399,,,,,,,,
MUMCENJP,246,125,163,214,175,87,134,253,,,,,
MSHJP,203,113,166,127,248,,,,,,,,
SRPCB,116,109,269,227,577,,,,,,,,
SHNPCENJP,106,201,110,294,149,135,110,128,239,,,,
TUCB,617,98,225,527,,,,,,,,,
MSHJP,282,111,212,130,158,,,,,,,,
XAQAQ,88,103,640,184,190,,,,,,,,
XAQMCENJP,86,118,232,364,217,266,113,169,213,,,,
XAQAQMC,88,101,330,161,388,235,409,,,,,,
MSHJP,253,95,215,169,257,,,,,,,,
SRPCB,130,114,259,242,244,,,,,,,,
MCB,313,255,274,,,,,,,,,,
XAQMCENJP,79,107,263,328,217,151,110,168,183,,,,
MUMCB,313,167,236,227,432,,,,,,,,
MSRPCB,236,103,127,272,202,463,,,,,,,
XAQMCB,62,92,256,305,230,264,,,,,,,
XAQAQ,72,110,295,154,846,,,,,,,,
TUCBP,563,92,232,301,163,,,,,,,,
XAQM,77,139,349,398,,,,,,,,,
MSHPCENJP,238,115,217,278,198,131,84,263,205,,,,
TUCENPCRB,577,120,125,132,130,250,204,13,542,,,,
MCB,259,295,368,,,,,,,,,,
