string,duration_1,duration_2,duration_3,duration_4,duration_5,duration_6,duration_7,duration_8,duration_9,duration_10,duration_11,duration_12,duration_13
TMCENJP,464,186,196,143,106,171,117,,,,,,
MUMCEJP,554,99,137,182,149,299,122,,,,,,
XAQMCENP,76,128,182,323,214,138,125,70,,,,,
XAQ,92,536,364,,,,,,,,,,
XAQCENP,77,369,187,107,140,158,93,,,,,,
XAQCB,76,294,237,147,180,,,,,,,,
XAQCB,75,359,210,221,193,,,,,,,,
XAQ,63,671,216,,,,,,,,,,
TCB,545,160,839,,,,,,,,,,
XAQAQCB,62,92,201,151,478,223,605,,,,,,
XAQCB,75,109,433,157,465,,,,,,,,
XAQCEJP,63,109,540,167,161,379,108,,,,,,
TMCENJP,413,229,183,187,142,223,131,,,,,,
TMCB,403,404,170,334,,,,,,,,,
TM,447,491,,,,,,,,,,,
XAQCENP,62,348,251,143,159,137,126,,,,,,
XAQAQCE,74,105,219,154,413,157,145,,,,,,
TMCB,481,178,199,222,,,,,,,,,
XAQCB,77,98,440,181,256,,,,,,,,
XAQCB,80,93,358,183,320,,,,,,,,
XAQAQ,49,102,216,137,412,,,,,,,,
XAQAQCB,74,83,304,145,391,208,255,,,,,,
XAQAQ,79,102,198,139,468,,,,,,,,
TMC,468,144,199,,,,,,,,,,
XAQAQCB,52,99,295,145,365,158,57,,,,,,
TCB,523,160,228,,,,,,,,,,
XAQCENJP,76,105,496,148,156,133,215,152,,,,,
XAQAQ,50,439,157,212,220,,,,,,,,
XAQCB,65,111,475,243,235,,,,,,,,
XAQAQ,63,112,199,141,418,,,,,,,,
XAQAQMCB,74,103,262,145,235,285,172,838,,,,,
XAQAQCB,93,99,245,126,414,160,119,,,,,,
TMCB,465,179,183,267,,,,,,,,,
MPCB,541,129,207,155,,,,,,,,,
XAQAQC,64,91,223,128,435,173,,,,,,,
MSRPCB,169,112,105,201,183,184,,,,,,,
XAQAQCEJP,76,115,197,187,514,134,257,237,220,,,,
XAQAQAQ,78,98,262,115,201,151,500,,,,,,
XAQAQAQ,79,106,166,133,190,170,204,,,,,,
TMCB,510,150,212,140,,,,,,,,,
XAQAQCENJP,88,89,257,129,395,169,162,106,173,172,,,
MSRPCENP,187,124,130,190,171,152,100,135,,,,,
XAQAQ,93,102,237,146,427,,,,,,,,
XAQAQ,90,101,241,147,429,,,,,,,,
XAQAQAQ,92,81,343,160,399,184,508,,,,,,
MSRNPCEN,227,106,105,155,240,168,228,75,,,,,
XAQCE,61,90,379,159,214,,,,,,,,
TM,436,367,,,,,,,,,,,
XAQCB,73,94,457,131,710,,,,,,,,
MUMCB,439,99,434,159,616,,,,,,,,
TMCBCENP,577,444,185,883,177,136,105,142,,,,,
MUMCB,321,125,499,184,276,,,,,,,,
XAQCENJP,77,103,408,129,161,105,619,101,,,,,
XAQCB,49,108,447,158,285,,,,,,,,
XAQCB,76,94,459,197,225,,,,,,,,
TM,494,383,,,,,,,,,,,
XAQAQAQCB,82,110,404,191,287,179,491,313,204,,,,
XAQCB,77,106,489,218,342,,,,,,,,
TM,512,310,,,,,,,,,,,
XAQCB,77,116,462,159,500,,,,,,,,
XAQCENP,74,100,455,177,157,109,202,,,,,,
XAQAQCEJ,119,101,317,156,611,181,209,304,,,,,
MSRP,397,112,151,203,,,,,,,,,
TMCB,458,175,156,963,,,,,,,,,
XAQCENP,78,105,423,140,140,131,126,,,,,,
TMCB,375,444,199,462,,,,,,,,,
XAQCENPC,65,98,390,165,221,109,208,80,,,,,
TMCB,437,394,209,245,,,,,,,,,
XAQCENP,65,110,418,128,176,159,165,,,,,,
TMCB,473,200,156,159,,,,,,,,,
XAQC,104,109,500,237,,,,,,,,,
TMCB,425,203,171,164,,,,,,,,,
MSRPCB,204,81,111,122,153,463,,,,,,,
XAQCB,73,99,502,157,623,,,,,,,,
TMCB,434,515,193,502,,,,,,,,,
XAQCENP,62,109,449,340,143,139,99,,,,,,
XAQCB,70,131,453,216,96,,,,,,,,
XAQAQ,73,112,285,149,278,,,,,,,,
XAQCB,84,105,471,206,65,,,,,,,,
XAQAQ,76,100,239,155,362,,,,,,,,
TMCB,444,176,224,446,,,,,,,,,
XAQCB,73,95,493,199,119,,,,,,,,
MSHNP,334,100,261,108,111,,,,,,,,
XAQMCB,89,108,430,249,213,79,,,,,,,
XAQCB,76,99,467,158,500,,,,,,,,
XAQAQCE,92,99,251,147,429,184,162,,,,,,
XAQMCB,88,104,293,252,243,947,,,,,,,
MPCB,376,159,183,99,,,,,,,,,
XAQMUCENP,102,111,247,221,126,170,161,129,244,,,,
XAQCB,75,112,485,193,341,,,,,,,,
TMCB,639,139,184,126,,,,,,,,,
TMCB,448,131,147,161,,,,,,,,,
MSHNP,244,133,274,79,152,,,,,,,,
TMCB,500,123,215,236,,,,,,,,,
XAQAQAQCB,76,119,237,160,344,153,559,188,165,,,,
TMCB,398,143,146,310,,,,,,,,,
MSRPCB,169,109,106,239,186,71,,,,,,,
XAQCENP,78,94,501,135,163,105,219,,,,,,
XAQCB,63,98,487,143,129,,,,,,,,
XAQAQ,89,112,248,168,425,,,,,,,,
XAQC,74,109,476,160,,,,,,,,,
XAQAQCB,63,106,251,191,457,191,372,,,,,,
TMCB,475,122,196,284,,,,,,,,,
XAQ,113,122,707,,,,,,,,,,
XAQAQCB,86,123,235,190,511,142,229,,,,,,
TMCENP,750,271,197,159,84,206,,,,,,,
TMCB,478,150,180,251,,,,,,,,,
MB,312,995,,,,,,,,,,,
MSRNP,215,96,130,132,244,,,,,,,,
TMCENJP,442,215,205,140,103,312,157,,,,,,
TMCENP,530,155,173,177,158,107,,,,,,,
TMCB,426,173,171,337,,,,,,,,,
TMCB,526,200,184,204,,,,,,,,,
XAQCENJP,75,115,419,155,155,106,218,171,,,,,
TMCB,612,387,178,426,,,,,,,,,
TMCENP,552,485,195,158,112,143,,,,,,,
XAQAQCB,89,94,269,138,405,157,304,,,,,,
XAQCB,90,105,542,160,849,,,,,,,,
XAQCB,74,97,464,167,251,,,,,,,,
XMSRNPCB,53,170,112,62,127,237,187,116,,,,,
TMCB,489,189,162,499,,,,,,,,,
XMSRNP,37,249,86,124,140,244,,,,,,,
XAQAQ,90,113,413,198,291,,,,,,,,
XTMCB,39,503,204,184,293,,,,,,,,
XAQAQAQ,100,103,586,199,548,245,376,,,,,,
XAQMCENJP,91,120,253,326,201,193,104,176,115,,,,
XSRPCENJP,76,74,109,204,188,114,131,186,124,,,,
MCB,275,220,450,,,,,,,,,,
XAQMCB,87,111,311,273,222,237,,,,,,,
TMCENP,547,157,204,138,107,248,,,,,,,
TMCB,452,141,200,307,,,,,,,,,
XAQMCE,114,125,358,301,188,139,,,,,,,
MCB,162,217,470,,,,,,,,,,
TMCB,469,168,216,301,,,,,,,,,
XAQMCB,75,117,397,332,227,168,,,,,,,
XAQMCB,82,125,424,298,236,502,,,,,,,
XSRPCB,95,71,109,148,202,327,,,,,,,
TB,626,341,,,,,,,,,,,
XMSHENJP,65,211,100,159,183,106,314,181,,,,,
XAQXSRP,82,122,266,118,121,109,162,,,,,,
MSRNJP,186,89,128,131,183,233,,,,,,,
XAQMC,106,144,437,303,94,,,,,,,,
TUCENP,483,118,202,138,133,211,,,,,,,
TMCENJP,533,150,194,122,104,227,194,,,,,,
XAQAQAQ,100,150,486,199,907,239,357,,,,,,
XAQMCENP,73,107,283,304,138,137,110,106,,,,,
TMCB,649,150,218,322,,,,,,,,,
XAQAQ,88,122,243,161,581,,,,,,,,
TMCB,522,320,234,166,,,,,,,,,
MCB,325,206,293,,,,,,,,,,
XAQAQ,61,118,519,203,426,,,,,,,,
XAQAQAQ,135,132,1061,240,627,193,167,,,,,,
TB,644,989,,,,,,,,,,,
TCB,563,196,678,,,,,,,,,,
MCENP,227,208,139,137,197,,,,,,,,
XAQAQAQ,76,83,295,166,512,136,239,,,,,,
TMCB,477,173,164,144,,,,,,,,,
TMCB,590,177,201,525,,,,,,,,,
XAQAQ,84,117,601,183,236,,,,,,,,
MUMCB,244,132,204,189,376,,,,,,,,
XAQMCENP,91,96,321,289,205,160,142,251,,,,,
MSRPCB,183,106,113,237,197,298,,,,,,,
XAQAQMCB,71,124,542,207,396,233,226,324,,,,,
XAQAQ,103,111,577,194,513,,,,,,,,
XAQM,87,132,422,339,,,,,,,,,
XAQAQ,72,120,737,199,200,,,,,,,,
SHNPCB,104,269,109,203,214,266,,,,,,,
MSRPCB,164,87,130,194,212,148,,,,,,,
MSRNPCB,181,94,107,154,231,221,119,,,,,,
XAQMCB,76,110,288,286,187,72,,,,,,,
XAQMCB,93,113,382,279,176,499,,,,,,,
MSRENP,218,93,112,152,137,231,,,,,,,
TB,607,448,,,,,,,,,,,
MSHPGCB,211,92,189,257,185,205,509,,,,,,
XAQAQAQ,97,107,605,207,468,176,228,,,,,,
TMCB,528,159,201,212,,,,,,,,,
MSHJP,169,127,147,172,203,,,,,,,,
XAQMCB,99,106,233,320,203,19,,,,,,,
XAQMTCENJP,99,106,247,250,340,211,136,109,189,196,,,
TMCB,514,178,214,215,,,,,,,,,
MSRPCENP,218,107,101,283,176,152,102,185,,,,,
TMCB,753,198,216,200,,,,,,,,,
MUMCENP,244,128,172,240,156,128,131,,,,,,
XAQAQ,91,141,916,252,470,,,,,,,,
SHNPMCENP,123,100,130,250,174,232,141,109,230,,,,
MSRP,192,106,130,262,,,,,,,,,
MC,279,166,,,,,,,,,,,
MCENP,412,204,164,103,190,,,,,,,,
MUCB,180,125,189,437,,,,,,,,,
TMCB,527,451,210,332,,,,,,,,,
XAQAMCE,91,126,562,211,328,223,195,,,,,,
XAQAQAQAQA,91,97,447,138,828,207,567,183,355,161,,,
AQAQ,100,450,157,251,,,,,,,,,
MSHNP,219,118,218,108,293,,,,,,,,
TMCB,503,191,185,346,,,,,,,,,
XAQAQMCB,83,127,449,166,363,439,185,575,,,,,
MUMCB,250,109,189,202,405,,,,,,,,
