string,duration_1,duration_2,duration_3,duration_4,duration_5,duration_6,duration_7,duration_8,duration_9,duration_10,duration_11,duration_12,duration_13
MCENP,213,155,158,102,113,,,,,,,,
TMCENJP,418,228,188,186,140,224,130,,,,,,
TMCB,397,407,172,330,,,,,,,,,
TM,446,490,,,,,,,,,,,
XAQCENP,66,88,503,146,159,141,119,,,,,,
XAQAQCE,78,104,209,163,409,159,143,,,,,,
TMCB,479,177,196,223,,,,,,,,,
XAQCB,75,103,436,185,248,,,,,,,,
XAQCB,74,94,364,181,319,,,,,,,,
XAQAQ,43,105,210,141,414,,,,,,,,
XAQAQCB,72,86,304,145,389,208,253,,,,,,
XAQAQ,78,100,200,146,462,,,,,,,,
XAQTCB,73,86,155,586,187,86,,,,,,,
TMC,468,144,200,,,,,,,,,,
XAQAQCB,50,91,300,150,358,168,52,,,,,,
TCB,521,156,229,,,,,,,,,,
XAQCENJP,75,105,493,148,159,131,218,151,,,,,
XAQAQAQ,56,84,212,139,221,168,193,,,,,,
XAQCB,67,105,477,246,232,,,,,,,,
XAQAQ,65,93,208,149,414,,,,,,,,
XAQAQMCB,77,101,261,149,233,285,170,838,,,,,
XAQAQCB,96,96,255,117,417,149,123,,,,,,
TMCB,467,176,183,271,,,,,,,,,
MPCB,538,130,202,160,,,,,,,,,
XAQAQC,66,95,204,148,429,170,,,,,,,
MSRPCB,168,116,103,201,184,181,,,,,,,
XAQAQCEJP,78,113,192,218,489,134,259,237,216,,,,
XAQAQAQ,75,101,242,135,199,173,475,,,,,,
XAQAQAQ,77,102,164,143,182,168,206,,,,,,
TMCB,502,153,212,136,,,,,,,,,
XAQAQCENJP,91,89,244,155,379,170,160,105,175,169,,,
XAQAQTM,91,105,183,197,171,501,315,,,,,,
MSRPCENP,185,125,129,191,168,156,97,132,,,,,
XAQAQ,91,101,214,175,416,,,,,,,,
XAQAQ,90,99,233,160,424,,,,,,,,
XAQAQ,86,110,248,149,197,,,,,,,,
XAQAQ,95,92,326,175,898,,,,,,,,
MSRNPCEN,227,108,104,153,241,170,227,73,,,,,
XAQCE,64,95,371,158,218,,,,,,,,
XAQCB,75,94,450,138,705,,,,,,,,
MUMCB,437,101,430,163,613,,,,,,,,
TMCBCENP,580,442,186,879,179,135,109,139,,,,,
MUMCB,324,127,498,183,275,,,,,,,,
XAQCENJP,74,99,409,133,163,101,620,97,,,,,
XAQCB,51,111,442,160,279,,,,,,,,
XAQCB,77,100,453,198,222,,,,,,,,
TM,487,385,,,,,,,,,,,
XAQAQAQCB,80,112,400,168,311,158,516,311,205,,,,
XAQCB,80,109,482,218,341,,,,,,,,
XAQCB,81,112,462,163,497,,,,,,,,
XAQCENP,75,106,447,177,158,107,199,,,,,,
XAQAQCEJ,117,106,309,176,604,170,209,308,,,,,
MSRP,392,116,153,201,,,,,,,,,
TMCB,456,170,160,961,,,,,,,,,
XAQCENP,77,106,423,140,138,132,122,,,,,,
TMCB,369,447,198,459,,,,,,,,,
XAQCENPC,66,107,378,164,224,104,212,81,,,,,
TMCB,441,389,211,242,,,,,,,,,
XAQCENP,71,101,416,131,177,157,164,,,,,,
TMCB,471,197,158,161,,,,,,,,,
XAQC,106,112,495,241,,,,,,,,,
TMCB,424,205,179,155,,,,,,,,,
MSRPCB,203,80,110,122,156,460,,,,,,,
XAQCB,63,104,491,156,626,,,,,,,,
TMCB,440,511,196,501,,,,,,,,,
XAQCENP,63,104,454,335,147,139,97,,,,,,
XAQCB,69,127,453,219,94,,,,,,,,
XAQAQ,75,116,276,176,254,,,,,,,,
XAQCB,85,109,464,199,74,,,,,,,,
XAQAQ,76,104,233,159,357,,,,,,,,
TMCB,444,176,228,445,,,,,,,,,
XAQCB,77,94,486,199,121,,,,,,,,
MSHNP,332,101,262,110,106,,,,,,,,
XAQMCB,85,110,432,246,214,78,,,,,,,
XAQCB,78,101,464,152,504,,,,,,,,
XAQAQCE,90,95,251,149,427,187,157,,,,,,
XAQMCB,92,97,302,244,242,946,,,,,,,
XAQMPCB,99,121,218,441,162,187,98,,,,,,
XAQMUCENP,100,121,254,206,125,172,158,129,244,,,,
XAQCB,73,127,466,196,341,,,,,,,,
TMCB,637,145,179,124,,,,,,,,,
TMCB,430,129,149,161,,,,,,,,,
MSHNP,236,136,275,81,150,,,,,,,,
TMCB,499,127,202,243,,,,,,,,,
XAQAQAQCB,76,119,242,167,338,142,562,186,164,,,,
TMCB,402,142,143,312,,,,,,,,,
MSRPCB,171,108,106,240,183,73,,,,,,,
XAQCENP,76,97,498,136,165,103,213,,,,,,
XAQCB,67,98,481,144,126,,,,,,,,
XAQAQ,92,119,238,173,421,,,,,,,,
XAQC,76,111,469,161,,,,,,,,,
XAQAQCB,66,108,238,199,459,187,367,,,,,,
TMCB,474,123,197,281,,,,,,,,,
XAQ,113,121,705,,,,,,,,,,
XAQAQCB,83,120,230,197,513,143,224,,,,,,
TMCENP,744,270,196,159,86,207,,,,,,,
TMCB,478,152,180,247,,,,,,,,,
MB,311,995,,,,,,,,,,,
MSRNP,219,98,127,132,243,,,,,,,,
TMCENJP,441,214,207,140,103,316,155,,,,,,
TMCENP,532,153,176,173,156,103,,,,,,,
TMCB,420,174,174,330,,,,,,,,,
TMCB,523,200,186,201,,,,,,,,,
XAQCENJP,80,115,414,157,157,106,219,161,,,,,
TMCB,613,389,180,424,,,,,,,,,
TMCENP,557,477,197,159,114,147,,,,,,,
MSRNPCB,171,107,67,125,236,187,118,,,,,,
MSRNP,171,78,124,132,132,,,,,,,,
TMCB,494,185,161,500,,,,,,,,,
MSRNP,247,84,124,136,249,,,,,,,,
XAQAQ,76,114,414,202,285,,,,,,,,
TMCB,498,205,181,292,,,,,,,,,
XAQAQAQ,96,112,578,203,543,250,374,,,,,,
XAQMCENJP,93,112,262,323,199,194,104,174,113,,,,
SRPCENJP,77,106,207,184,121,128,187,122,,,,,
MCB,273,215,451,,,,,,,,,,
XAQMCB,86,113,314,269,220,234,,,,,,,
TMCENP,544,162,203,139,105,250,,,,,,,
TMCB,454,137,203,309,,,,,,,,,
MSTNJP,189,73,63,133,183,115,,,,,,,
XAQMCEMCB,119,118,369,289,191,137,264,219,470,,,,
TMCB,463,171,212,302,,,,,,,,,
XAQMCB,62,113,391,337,231,166,,,,,,,
XAQMCB,86,117,426,299,228,508,,,,,,,
SRPCB,59,110,149,201,329,,,,,,,,
TB,622,341,,,,,,,,,,,
MSHENJP,205,97,161,178,107,313,182,,,,,,
MSRNJP,189,87,130,132,180,231,,,,,,,
SRNP,108,116,159,217,,,,,,,,,
XAQMC,102,149,435,306,90,,,,,,,,
TUCENP,480,123,202,134,136,212,,,,,,,
TMCENJP,533,150,196,122,103,227,191,,,,,,
XAQAQAQ,99,150,483,208,898,248,352,,,,,,
XAQMCENP,78,106,287,302,136,139,108,104,,,,,
TMCB,646,149,217,318,,,,,,,,,
XAQAQ,84,121,246,166,579,,,,,,,,
TMCB,519,321,234,165,,,,,,,,,
MCB,320,208,291,,,,,,,,,,
XAQ,78,119,528,,,,,,,,,,
XAQAQ,62,116,517,208,424,,,,,,,,
XAQAQAQ,134,136,1054,244,632,183,168,,,,,,
TB,645,987,,,,,,,,,,,
TCB,563,193,676,,,,,,,,,,
MCENP,227,210,138,139,195,,,,,,,,
XAQAQAQ,76,90,289,161,515,154,220,,,,,,
TMCB,478,171,164,143,,,,,,,,,
MSHP,209,115,187,233,,,,,,,,,
TMCB,589,176,201,525,,,,,,,,,
XAQAQ,82,113,603,187,231,,,,,,,,
MUMCB,243,132,204,189,376,,,,,,,,
XAQMCENP,90,97,320,288,202,161,143,249,,,,,
MSRPCB,187,105,110,237,198,298,,,,,,,
XAQAQMCB,72,122,543,212,393,230,229,320,,,,,
XAQAQ,110,117,578,197,506,,,,,,,,
XAQM,88,134,430,328,,,,,,,,,
XAQAQ,72,115,742,204,195,,,,,,,,
SHNPCB,108,267,110,203,215,265,,,,,,,
MSRPCB,163,90,128,198,212,147,,,,,,,
MSRNPCB,182,95,106,155,228,223,119,,,,,,
XAQMCB,73,111,284,288,184,74,,,,,,,
MSRNP,192,103,105,131,253,,,,,,,,
XAQMCB,88,117,380,283,176,494,,,,,,,
MSRENP,220,94,113,152,136,231,,,,,,,
TB,609,442,,,,,,,,,,,
MSHPMCB,208,93,194,252,186,204,510,,,,,,
XAQAQAQ,96,107,600,220,463,181,222,,,,,,
MUTMCB,228,110,187,165,201,209,,,,,,,
