string,duration_1,duration_2,duration_3,duration_4,duration_5,duration_6,duration_7,duration_8,duration_9,duration_10,duration_11,duration_12,duration_13,duration_14,duration_15,duration_16,duration_17,duration_18
BTNMNUWUW,368,153,109,73,79,141,124,392,144,,,,,,,,,
MYFHXGHXSI,266,187,171,206,251,100,259,217,138,116,,,,,,,,
BTUWU,332,389,307,111,410,,,,,,,,,,,,,
MYFHXGFHXSI,243,392,133,293,237,99,141,176,193,132,132,,,,,,,
MYEL,241,185,255,825,,,,,,,,,,,,,,
BTU,421,478,343,,,,,,,,,,,,,,,
BTU,360,403,332,,,,,,,,,,,,,,,
BTUW,374,203,331,108,,,,,,,,,,,,,,
MYFHRDNMUSIL,465,197,173,153,134,88,134,68,249,141,246,92,,,,,,
MYFHRDNTUWUSIL,330,328,150,279,118,73,250,155,112,111,72,156,201,95,,,,
BTNUSXS,375,332,229,291,141,261,377,,,,,,,,,,,
BTNMNUWUWU,709,136,285,50,378,126,90,333,135,358,,,,,,,,
MYFHXGFHXSIL,440,328,173,204,276,110,162,176,454,133,247,95,,,,,,
MYEL,362,144,351,216,,,,,,,,,,,,,,
BTUWU,872,197,312,107,177,,,,,,,,,,,,,
MYFHRDNUSXS,276,291,157,261,143,77,306,219,140,262,884,,,,,,,
GXGFHDNTU,388,246,100,114,236,63,188,239,112,,,,,,,,,
MYEL,635,155,310,134,,,,,,,,,,,,,,
BTUSZ,533,153,244,135,663,,,,,,,,,,,,,
GXGFH,358,260,86,139,143,,,,,,,,,,,,,
DNTUWU,73,198,168,146,103,257,,,,,,,,,,,,
MYFHXGFHXSI,248,313,151,169,242,101,184,127,252,126,179,,,,,,,
MYFHXGEL,275,281,153,337,264,137,144,101,,,,,,,,,,
MYFH,325,286,177,147,,,,,,,,,,,,,,
BTU,430,810,301,,,,,,,,,,,,,,,
MYFHXGFHXGHXSI,268,186,211,207,237,108,149,139,310,132,185,508,125,130,,,,
MYEL,521,143,216,751,,,,,,,,,,,,,,
BTUWUWU,485,290,331,106,586,126,142,,,,,,,,,,,
MYFHXSIL,466,310,213,288,270,177,432,91,,,,,,,,,,
GXGEL,295,325,82,220,263,,,,,,,,,,,,,
BTUS,518,218,284,953,,,,,,,,,,,,,,
MYFHXGH,257,303,170,366,268,105,33,,,,,,,,,,,
MYFHXSIL,506,284,174,294,302,158,247,89,,,,,,,,,,
BTUS,481,214,255,267,,,,,,,,,,,,,,
MYFHR,297,257,190,156,143,,,,,,,,,,,,,
GXENMUWUSIL,279,40,111,173,83,141,117,113,181,198,108,,,,,,,
BTNMNUWUSIL,406,260,88,68,286,126,98,134,127,178,126,,,,,,,
GXGFHXG,636,255,67,162,215,258,129,,,,,,,,,,,
BTUS,384,264,241,606,,,,,,,,,,,,,,
MYEL,312,160,221,285,,,,,,,,,,,,,,
BTUWUWU,519,442,305,123,514,127,411,,,,,,,,,,,
GXGFHXGFHXS,131,231,63,182,223,242,180,105,186,275,181,,,,,,,
I,219,,,,,,,,,,,,,,,,,
RDNTUWUS,125,50,269,149,327,108,379,329,,,,,,,,,,
MYFHRDNUWUSI,287,181,172,158,142,87,157,129,103,82,212,179,,,,,,
RGXGFH,139,255,239,87,117,37,,,,,,,,,,,,
WUS,77,92,861,,,,,,,,,,,,,,,
BTUWU,334,575,308,124,389,,,,,,,,,,,,,
MYFHXSIL,305,296,151,377,306,157,247,94,,,,,,,,,,
TBTUWUWUWU,113,498,140,349,101,382,112,341,131,408,,,,,,,,
RDNUWUSZ,129,100,269,147,103,107,142,173,,,,,,,,,,
GXGEL,651,267,99,177,252,,,,,,,,,,,,,
MYEL,485,279,209,267,,,,,,,,,,,,,,
DNTUSZ,90,190,138,264,161,1005,,,,,,,,,,,,
MYFHXGHXSI,293,293,191,166,241,130,345,180,160,177,,,,,,,,
BTUS,834,226,217,175,,,,,,,,,,,,,,
MYEL,263,283,259,1007,,,,,,,,,,,,,,
MYEL,795,149,259,101,,,,,,,,,,,,,,
BTUSIL,441,233,281,478,267,119,,,,,,,,,,,,
MYFHXSI,226,288,174,288,269,147,125,,,,,,,,,,,
RDNTUWUWUWU,125,79,198,135,327,127,256,142,373,136,29,,,,,,,
MYFHXGH,241,289,172,170,259,147,170,,,,,,,,,,,
BTNMNU,412,186,80,67,73,84,,,,,,,,,,,,
MYFHDNTUWUSIL,207,309,156,165,51,246,520,137,87,99,151,158,95,,,,,
MYFHXGEL,256,291,212,168,423,147,138,135,,,,,,,,,,
RDNMNUWUWUW,122,65,159,72,364,147,101,337,103,407,161,,,,,,,
MYFHRDN,297,176,159,156,151,82,271,,,,,,,,,,,
MYFHGXGEL,239,277,132,147,154,235,107,198,33,,,,,,,,,
MBTUS,200,495,377,178,529,,,,,,,,,,,,,
MYFH,237,265,149,184,,,,,,,,,,,,,,
DNTUS,96,141,249,285,528,,,,,,,,,,,,,
BMYFHXGEL,204,558,159,171,206,352,117,176,136,,,,,,,,,
BTNMNUWU,609,180,290,59,119,141,112,186,,,,,,,,,,
DNTUWUWU,81,178,225,140,99,374,99,169,,,,,,,,,,
MYFHXGEL,271,173,169,164,247,125,181,33,,,,,,,,,,
RDNMNUWU,127,71,150,58,243,118,94,151,,,,,,,,,,
MYFHXGHXSI,233,286,130,249,284,117,272,199,167,145,,,,,,,,
MYFHXSIL,500,306,141,217,259,173,313,108,,,,,,,,,,
MYFHXGFHXSI,255,265,194,249,222,119,188,132,290,168,181,,,,,,,
MYFHX,314,285,142,209,157,,,,,,,,,,,,,
SI,162,106,,,,,,,,,,,,,,,,
BTUS,505,726,227,425,,,,,,,,,,,,,,
MYFHXSXSI,255,199,228,197,265,106,257,125,162,,,,,,,,,
GXGFHX,373,249,93,116,204,370,,,,,,,,,,,,
DNUWUSFX,95,236,116,83,118,104,24,192,,,,,,,,,,
BTNUWU,297,104,272,114,79,135,,,,,,,,,,,,
GXGEL,244,239,80,163,173,,,,,,,,,,,,,
BTYFHXSIL,393,119,141,111,167,263,120,146,98,,,,,,,,,
MYFHDNTU,236,264,133,119,88,178,130,68,,,,,,,,,,
DNTN,81,197,152,813,,,,,,,,,,,,,,
MNMNUS,72,359,47,194,226,303,,,,,,,,,,,,
BTNMUW,447,251,89,73,290,131,,,,,,,,,,,,
BTNMNMNUWUSIL,287,244,291,41,340,47,548,108,61,90,181,247,127,,,,,
BTU,317,875,285,,,,,,,,,,,,,,,
BTXEL,621,132,192,140,135,,,,,,,,,,,,,
BTNMNMNUWU,356,133,252,34,327,37,852,120,119,140,,,,,,,,
MYFHXGFHXSI,236,290,171,164,232,106,121,169,266,97,150,,,,,,,
MYFHXGFHXSI,393,249,131,174,242,138,118,171,229,140,150,,,,,,,
BTNMN,386,133,261,42,162,,,,,,,,,,,,,
MYFHRDNTUWUSFXSIL,229,286,168,233,128,92,209,133,112,112,91,77,31,249,156,195,94,
MYFHXGHXSI,278,274,171,292,247,157,305,234,133,131,,,,,,,,
BTU,366,217,313,,,,,,,,,,,,,,,
MYFHXGHXSIL,209,248,128,170,248,144,256,254,132,162,98,,,,,,,
FHXGFHXSI,28,199,255,105,179,175,287,137,153,,,,,,,,,
BTUWU,367,309,313,114,81,,,,,,,,,,,,,
MYFHDNMNMNU,205,276,152,200,91,280,36,313,46,319,82,,,,,,,
BTNUWU,372,279,330,125,101,118,,,,,,,,,,,,
BTUS,385,203,264,94,,,,,,,,,,,,,,
BTNMNMNMN,422,172,284,44,372,35,384,44,222,,,,,,,,,
BTU,229,242,335,,,,,,,,,,,,,,,
BTUSIL,583,173,250,201,173,130,,,,,,,,,,,,
BTU,387,273,322,,,,,,,,,,,,,,,
BTU,490,454,350,,,,,,,,,,,,,,,
MYFHXGHXSIL,583,164,168,298,277,129,271,208,125,241,94,,,,,,,
BTUSIL,385,377,282,162,172,129,,,,,,,,,,,,
MYFH,384,266,175,149,,,,,,,,,,,,,,
BTXEL,437,266,127,166,140,,,,,,,,,,,,,
BTUWU,360,255,373,122,61,,,,,,,,,,,,,
MYEL,226,266,259,335,,,,,,,,,,,,,,
BUSZ,609,217,170,562,,,,,,,,,,,,,,
BTU,314,250,321,,,,,,,,,,,,,,,
MYFHXGEL,216,280,134,251,218,186,138,169,,,,,,,,,,
BTUS,384,157,288,242,,,,,,,,,,,,,,
MYEL,254,119,215,663,,,,,,,,,,,,,,
BTNMNUWUWUW,341,420,73,53,29,283,111,196,146,320,144,,,,,,,
MYEL,335,158,272,442,,,,,,,,,,,,,,
BTNUSIL,367,189,123,283,138,175,95,,,,,,,,,,,
MYFHXGFHXGHXSI,266,267,192,334,231,119,141,178,316,148,238,418,128,102,,,,
BTUWUSFXGEL,531,179,137,104,108,88,34,249,116,176,66,,,,,,,
BTNUWUS,236,171,335,138,107,184,59,,,,,,,,,,,
BTNUWUSXGEL,447,145,198,136,127,118,56,279,118,192,59,,,,,,,
MYEL,563,138,275,136,,,,,,,,,,,,,,
BTUSIL,550,279,279,161,220,92,,,,,,,,,,,,
MYFHDNTUS,299,152,172,232,91,197,196,225,235,,,,,,,,,
MYFH,284,271,132,186,,,,,,,,,,,,,,
MYFHDNTUS,459,276,152,164,87,239,159,283,183,,,,,,,,,
MYFH,292,283,132,147,,,,,,,,,,,,,,
BTUWUWUWU,306,203,335,118,556,119,328,111,44,,,,,,,,,
BTUWUSIL,400,240,150,98,102,148,176,90,,,,,,,,,,
MYFHXGHXSIL,175,297,168,212,249,168,261,271,137,199,89,,,,,,,
BTUW,436,213,343,153,,,,,,,,,,,,,,
MYFHXGEL,368,280,192,293,246,171,180,101,,,,,,,,,,
BTUWU,224,202,331,125,131,,,,,,,,,,,,,
BTUS,310,213,307,1009,,,,,,,,,,,,,,
BTUWUWU,462,167,312,123,505,141,191,,,,,,,,,,,
MYFHXGHXSIL,211,258,153,289,257,109,418,268,147,151,92,,,,,,,
BTU,535,350,306,,,,,,,,,,,,,,,
MYEL,373,170,218,139,,,,,,,,,,,,,,
BTU,510,153,268,,,,,,,,,,,,,,,
MYEL,232,290,205,503,,,,,,,,,,,,,,
MYEL,523,135,307,253,,,,,,,,,,,,,,
MYFH,279,263,187,189,,,,,,,,,,,,,,
DRDNUWUS,78,109,74,182,178,99,164,376,,,,,,,,,,
MYFHXSIL,374,238,116,325,239,158,212,93,,,,,,,,,,
BTUWU,422,196,137,118,307,,,,,,,,,,,,,
MYFHXSIL,276,336,130,250,240,142,201,91,,,,,,,,,,
BTUS,437,206,281,761,,,,,,,,,,,,,,
MYFHXSIL,437,177,180,173,298,156,216,93,,,,,,,,,,
BTUWU,510,268,361,116,357,,,,,,,,,,,,,
MYFHXGEL,556,330,109,242,259,104,220,136,,,,,,,,,,
BTUWUS,391,189,155,73,115,1113,,,,,,,,,,,,
BTU,412,203,329,,,,,,,,,,,,,,,
BT,676,239,,,,,,,,,,,,,,,,
RDNTUWUSFXGEL,126,72,198,146,145,106,149,98,35,247,158,173,99,,,,,
BTNU,480,185,299,111,,,,,,,,,,,,,,
MYFHXGHXSIL,209,294,135,172,251,115,231,264,146,175,93,,,,,,,
MYEL,626,140,305,183,,,,,,,,,,,,,,
MYFHXGHXSIL,253,314,192,126,266,139,262,223,178,172,94,,,,,,,
BTUS,558,185,268,238,,,,,,,,,,,,,,
MYFHRDNUS,290,196,178,153,134,87,148,239,196,,,,,,,,,
RDNUWUS,116,68,227,164,120,126,859,,,,,,,,,,,
MYFHXGFHXGFHXSI,257,275,155,251,235,120,139,300,254,116,143,141,270,137,98,,,
BTUWU,473,205,368,109,382,,,,,,,,,,,,,
MYEL,217,169,222,988,,,,,,,,,,,,,,
MYEL,408,163,223,471,,,,,,,,,,,,,,
MYEL,497,167,363,105,,,,,,,,,,,,,,
BTUWU,502,163,383,114,613,,,,,,,,,,,,,
DNUWUS,77,672,137,89,91,452,,,,,,,,,,,,
MYFHXGFHXGFHXSI,212,200,152,212,260,104,140,248,289,129,123,218,274,109,133,,,
MYFHX,622,291,150,254,1546,,,,,,,,,,,,,
MYFHXGFHXSIL,194,182,134,166,240,176,162,213,268,155,154,92,,,,,,
BTU,816,196,346,,,,,,,,,,,,,,,
MYFHRDNUWUS,205,182,136,173,126,84,156,143,125,103,321,,,,,,,
MYFHRDNUS,305,312,131,117,133,78,268,231,239,,,,,,,,,
BTNUWU,448,191,115,307,134,156,,,,,,,,,,,,
BTUWUWUWU,429,617,327,115,536,107,362,98,71,,,,,,,,,
GXGFHXG,311,244,94,143,176,288,115,,,,,,,,,,,
MYFHXGHXSI,256,279,117,171,228,151,305,228,172,239,,,,,,,,
RDNUWUS,111,67,254,164,97,144,528,,,,,,,,,,,
DNTUWUW,74,244,139,160,96,407,147,,,,,,,,,,,
GXGEL,371,246,87,225,264,,,,,,,,,,,,,
BTUS,554,353,269,512,,,,,,,,,,,,,,
MYFHXGFHXSIL,260,287,168,333,250,124,144,131,259,157,195,89,,,,,,
RDNTU,106,74,273,142,329,,,,,,,,,,,,,
MYEL,513,149,220,1105,,,,,,,,,,,,,,
BTUWU,609,172,482,121,153,,,,,,,,,,,,,
XGFHXSI,208,105,139,255,229,171,197,,,,,,,,,,,
MYFH,316,172,170,35,,,,,,,,,,,,,,
MBTUS,187,428,150,273,874,,,,,,,,,,,,,
MYFHXGHXSI,313,297,152,171,230,107,276,267,168,171,,,,,,,,
BTU,479,183,333,,,,,,,,,,,,,,,
MYEL,277,168,212,1073,,,,,,,,,,,,,,
MYEL,474,165,421,132,,,,,,,,,,,,,,
MYFHDNUS,293,305,189,155,87,346,294,297,,,,,,,,,,
RDNUWUWUWU,100,78,370,161,117,407,111,402,120,331,,,,,,,,
DNTUWU,78,242,142,346,128,469,,,,,,,,,,,,
BTUS,545,201,280,589,,,,,,,,,,,,,,
MYFHDNTUWUS,301,160,169,242,73,223,233,266,117,302,193,,,,,,,
MYFHDNUWUS,333,288,171,245,99,310,167,107,122,402,,,,,,,,
GXEL,509,573,323,1098,,,,,,,,,,,,,,
MYFHXSIL,527,299,157,254,221,152,220,124,,,,,,,,,,
BTUWU,481,199,177,103,185,,,,,,,,,,,,,
MYFHDNUWUS,329,170,169,277,90,304,139,113,84,297,,,,,,,,
GXGFHXGFHXSI,539,215,83,152,199,284,128,144,215,280,169,107,,,,,,
DNTUWUWU,81,242,277,338,90,227,118,350,,,,,,,,,,
DNTUWUWUWU,82,215,201,390,136,823,111,483,125,319,,,,,,,,
MYFHXSIL,388,308,127,247,236,176,194,123,,,,,,,,,,
MYEL,344,150,252,284,,,,,,,,,,,,,,
GXGEL,388,253,96,175,97,,,,,,,,,,,,,
MYFHXSIL,522,279,135,219,221,170,193,90,,,,,,,,,,
MYFHRDNUS,321,269,168,156,149,88,166,237,225,,,,,,,,,
GXGFHFX,332,333,131,174,299,70,265,,,,,,,,,,,
DNMN,73,381,59,720,,,,,,,,,,,,,,
DNTUWU,77,184,217,296,87,242,,,,,,,,,,,,
DNTUWU,92,209,116,138,115,157,,,,,,,,,,,,
BTUWU,361,173,134,91,201,,,,,,,,,,,,,
BTNUWUFXS,329,160,294,305,120,381,36,277,445,,,,,,,,,
BTNU,339,189,131,245,,,,,,,,,,,,,,
BTNMNMN,319,184,279,34,397,47,170,,,,,,,,,,,
BTEL,266,424,209,157,,,,,,,,,,,,,,
BTNMN,310,170,107,53,916,,,,,,,,,,,,,
BTXEL,373,359,161,168,252,,,,,,,,,,,,,
BTNTUW,294,174,270,736,304,126,,,,,,,,,,,,
BTNMUSFXSIL,377,158,84,73,229,118,35,231,160,174,131,,,,,,,
BTNMNMNMNUW,398,144,271,40,310,34,734,42,235,121,45,,,,,,,
MYEL,312,180,217,586,,,,,,,,,,,,,,
BTUWU,544,264,358,112,131,,,,,,,,,,,,,
BTNMNMN,413,194,252,44,732,48,328,,,,,,,,,,,
BTUS,240,567,273,671,,,,,,,,,,,,,,
MYFHXGHXSI,223,285,172,236,269,167,260,249,136,171,,,,,,,,
BTUSFXS,618,199,298,98,34,312,236,,,,,,,,,,,
MYFHXGFHXSI,427,282,168,324,256,118,116,171,268,130,202,,,,,,,
BTU,428,307,387,,,,,,,,,,,,,,,
MYFHXGE,401,262,132,207,217,116,168,,,,,,,,,,,
BTU,424,242,350,,,,,,,,,,,,,,,
MYFHXGFH,377,283,147,172,254,122,160,274,,,,,,,,,,
BTUSIL,549,310,247,203,150,91,,,,,,,,,,,,
MYFHXGFHXGFHXSI,285,201,170,215,255,117,156,174,315,105,141,131,304,159,149,,,
BTNMUWUSFXSIL,314,500,78,81,132,95,180,66,40,264,166,149,105,,,,,
MYFHXGHXSIL,674,331,112,166,272,154,256,283,173,189,95,,,,,,,
BTNUW,477,166,119,335,119,,,,,,,,,,,,,
MYEL,317,159,401,97,,,,,,,,,,,,,,
MYEL,409,94,382,102,,,,,,,,,,,,,,
BTUS,307,347,271,498,,,,,,,,,,,,,,
BTU,381,212,404,,,,,,,,,,,,,,,
BTNMNMNMNUWUSIL,445,132,277,60,401,64,778,69,162,142,118,152,164,199,94,,,
BTUWU,719,566,138,98,138,,,,,,,,,,,,,
MYFHXGE,256,318,190,170,234,136,91,,,,,,,,,,,
GXGFH,273,333,133,95,324,,,,,,,,,,,,,
BTUWUWUWU,399,443,336,111,234,143,452,107,318,,,,,,,,,
BTNUWUSFXGF,389,164,154,130,126,139,59,33,217,152,137,,,,,,,
BTUSFXSIL,577,221,283,125,34,248,163,172,94,,,,,,,,,
BTUSFX,330,337,361,69,29,215,,,,,,,,,,,,
MYFHXSIL,259,325,193,287,268,161,172,95,,,,,,,,,,
MYEL,248,181,226,294,,,,,,,,,,,,,,
BTNMNMNUWUSIL,424,171,262,44,846,43,301,114,91,83,172,225,126,,,,,
BTNTUSFXSIL,697,203,236,228,242,135,35,277,162,150,90,,,,,,,
MYFH,249,328,161,140,,,,,,,,,,,,,,
B,907,,,,,,,,,,,,,,,,,
TU,146,308,,,,,,,,,,,,,,,,
MYFHDNTUWUSIL,222,187,212,146,91,201,152,126,97,125,169,196,96,,,,,
BTUWUWU,398,263,297,133,529,128,300,,,,,,,,,,,
BTUS,586,291,260,414,,,,,,,,,,,,,,
MYEL,491,245,180,340,,,,,,,,,,,,,,
BTUSIL,557,184,290,204,240,124,,,,,,,,,,,,
BTUWUSIL,381,445,132,102,137,142,176,98,,,,,,,,,,
BTNMNMNUWUS,487,123,296,32,340,40,733,111,105,102,283,,,,,,,
BTUWUSIL,403,263,144,103,111,242,154,92,,,,,,,,,,
MYEL,313,161,241,247,,,,,,,,,,,,,,
BTUWUSIL,441,465,166,117,123,203,223,131,,,,,,,,,,
MYFHXSIL,413,301,152,292,257,146,265,95,,,,,,,,,,
MYEL,395,275,176,213,,,,,,,,,,,,,,
BTU,736,171,264,,,,,,,,,,,,,,,
BTNUWUSIL,495,147,259,139,140,149,164,217,123,,,,,,,,,
MYFXGFHXSI,220,346,248,258,125,123,254,261,160,284,,,,,,,,
MYEL,372,210,264,137,,,,,,,,,,,,,,
MYFHXSIL,388,329,146,248,229,144,219,88,,,,,,,,,,
BTUS,458,238,275,382,,,,,,,,,,,,,,
MYFHXGXSI,219,365,210,282,243,194,130,174,165,,,,,,,,,
BTU,438,232,318,,,,,,,,,,,,,,,
BTUWUWU,460,186,349,142,481,122,325,,,,,,,,,,,
MYFHDNTUSI,309,289,149,271,92,285,302,232,163,143,,,,,,,,
BTNMNUWUSFXGH,694,121,290,43,303,113,97,137,118,42,264,91,39,,,,,
MYFHXGHXSI,253,305,133,288,251,132,231,251,152,118,,,,,,,,
MYFHDNTUS,217,312,218,233,79,211,159,222,136,,,,,,,,,
BTY,534,169,254,,,,,,,,,,,,,,,
MYFHXGEL,217,180,154,124,226,97,131,102,,,,,,,,,,
MYE,522,168,167,,,,,,,,,,,,,,,
BTUWUSIL,351,265,145,92,139,165,174,171,,,,,,,,,,
MYFHXGFHXSI,268,266,171,281,257,124,118,175,281,171,144,,,,,,,
BTUWU,389,352,368,122,90,,,,,,,,,,,,,
MYFHXGFHX,235,297,213,247,273,132,139,172,393,,,,,,,,,
MYEL,549,172,211,171,,,,,,,,,,,,,,
BTN,748,156,1346,,,,,,,,,,,,,,,
MNUWUS,70,198,128,98,115,193,,,,,,,,,,,,
MYFHRDNTUSI,248,298,154,157,148,83,182,218,235,146,131,,,,,,,
MYFHXGFHXSI,254,294,195,200,217,107,183,175,213,159,131,,,,,,,
MYFHXGEL,241,273,152,171,223,139,178,136,,,,,,,,,,
BTUSZ,522,433,264,181,1049,,,,,,,,,,,,,
MYFHXGFHXSI,415,287,196,216,268,112,138,264,278,172,125,,,,,,,
MYFHR,287,275,174,112,144,,,,,,,,,,,,,
MYEL,459,149,259,132,,,,,,,,,,,,,,
BTNUWU,555,172,259,131,108,189,,,,,,,,,,,,
MYFHDNTUW,215,350,210,154,74,243,441,140,130,,,,,,,,,
MYFHDNTN,218,273,172,193,82,279,188,825,,,,,,,,,,
MN,41,206,,,,,,,,,,,,,,,,
MYFH,280,303,187,112,,,,,,,,,,,,,,
MYFHXGEL,397,286,112,165,262,146,220,140,,,,,,,,,,
BTUSZ,446,255,261,157,182,,,,,,,,,,,,,
MYFHXGFHXSIL,235,173,172,337,236,137,118,217,269,150,193,94,,,,,,
MYFH,355,170,165,272,,,,,,,,,,,,,,
BTUS,440,221,265,967,,,,,,,,,,,,,,
MYFHXGFH,269,285,173,256,249,86,143,112,,,,,,,,,,
BTUWU,364,659,316,129,569,,,,,,,,,,,,,
MYEL,433,188,217,1135,,,,,,,,,,,,,,
BTUS,611,293,248,409,,,,,,,,,,,,,,
BTUWUWU,418,211,137,131,361,136,42,,,,,,,,,,,
MYFHXGEL,262,260,169,206,222,116,167,229,,,,,,,,,,
MYEL,257,292,199,174,,,,,,,,,,,,,,
BTN,501,205,887,,,,,,,,,,,,,,,
MN,49,207,,,,,,,,,,,,,,,,
MYFHRDNTUS,253,196,233,197,120,64,225,250,303,241,,,,,,,,
MYFHXGFHXSI,349,331,171,201,282,142,120,135,273,148,178,,,,,,,
MYEL,324,271,300,137,,,,,,,,,,,,,,
MYFHXGHXSI,397,330,173,130,262,131,440,219,162,197,,,,,,,,
DNTUS,67,204,201,288,493,,,,,,,,,,,,,
BTUSIL,563,206,269,191,200,132,,,,,,,,,,,,
MYFHXGFHXSI,211,307,188,245,264,129,123,291,256,145,145,,,,,,,
MYFHXGHXSIL,223,292,126,242,233,135,217,265,147,172,93,,,,,,,
MYFHXGX,218,314,154,285,222,186,187,,,,,,,,,,,
MYFHXG,235,305,149,166,253,110,,,,,,,,,,,,
MYEL,702,180,361,846,,,,,,,,,,,,,,
BTNMNUWUSIL,425,190,651,82,987,115,114,116,225,245,93,,,,,,,
MYFH,278,316,213,73,,,,,,,,,,,,,,
BTUWU,309,408,136,133,169,,,,,,,,,,,,,
MYFHRDNTUSI,239,267,175,154,138,87,279,177,219,171,126,,,,,,,
B,1029,,,,,,,,,,,,,,,,,
TUWUWU,184,157,38,386,115,164,,,,,,,,,,,,
MYFHRDNUW,369,246,175,160,154,88,148,164,74,,,,,,,,,
MYFHXGFHXSI,251,268,131,168,269,162,117,134,242,172,215,,,,,,,
MYFHXGFHXSI,208,262,193,130,236,120,140,296,233,152,164,,,,,,,
MYFHXGFHXSIL,456,258,171,207,354,120,200,304,371,183,387,92,,,,,,
MYFHDNTU,214,324,156,192,96,263,154,137,,,,,,,,,,
BTNMN,640,168,303,38,1013,,,,,,,,,,,,,
MN,47,198,,,,,,,,,,,,,,,,
MYEL,435,168,309,221,,,,,,,,,,,,,,
MYFHXGHEL,231,294,189,209,276,139,44,153,108,,,,,,,,,
MYFHRDNTUWUS,222,284,176,101,148,63,224,148,135,112,162,240,,,,,,
BTUWU,504,921,292,103,388,,,,,,,,,,,,,
BTUS,64,161,378,952,,,,,,,,,,,,,,
MYFHXGFHXSI,302,293,218,289,275,149,184,133,252,148,146,,,,,,,
MYFHXGFHXGHX,340,308,175,174,242,108,145,180,288,121,221,582,,,,,,
BTUWU,325,208,333,105,116,,,,,,,,,,,,,
MYEL,285,178,262,940,,,,,,,,,,,,,,
MYFHXGEL,212,291,215,205,234,107,169,218,,,,,,,,,,
BTUWUWUWUWUEL,575,170,360,114,527,126,338,105,323,103,150,71,98,,,,,
MYFHXSIL,693,166,172,249,287,146,313,89,,,,,,,,,,
MYFHXGEL,305,247,176,165,267,138,172,99,,,,,,,,,,
MYFHEDNTUS,207,302,156,218,126,85,166,243,228,239,,,,,,,,
GXE,537,87,232,,,,,,,,,,,,,,,
DNTUSZ,89,184,171,246,168,191,,,,,,,,,,,,
MYFHXGFHXSI,352,271,152,205,255,133,141,247,201,150,121,,,,,,,
MYFHXGFHXSI,608,160,191,285,364,152,184,176,261,157,271,,,,,,,
BTNMN,845,157,253,35,906,,,,,,,,,,,,,
MNUWUS,78,54,114,76,97,266,,,,,,,,,,,,
MYEL,282,195,402,134,,,,,,,,,,,,,,
BTNMUWUSIL,477,212,83,73,134,120,124,105,176,115,,,,,,,,
UWUWU,159,98,613,108,517,,,,,,,,,,,,,
GXGFH,345,261,124,183,234,,,,,,,,,,,,,
GXGHXSI,113,304,103,227,198,174,167,,,,,,,,,,,
DNTUWU,69,234,190,136,119,254,,,,,,,,,,,,
MYFHXSIL,243,349,129,209,234,177,150,126,,,,,,,,,,
MYEL,293,340,268,1430,,,,,,,,,,,,,,
GXGEL,558,277,142,172,216,,,,,,,,,,,,,
BTUS,330,291,267,864,,,,,,,,,,,,,,
MYFHXSIL,239,274,191,291,228,144,238,128,,,,,,,,,,
MYFHXSIL,538,315,140,296,207,194,220,92,,,,,,,,,,
MYFHXGEL,297,317,133,167,252,147,178,131,,,,,,,,,,
MYELEL,256,186,218,294,270,742,,,,,,,,,,,,
BTUS,738,222,261,818,,,,,,,,,,,,,,
MYEL,311,253,212,983,,,,,,,,,,,,,,
MYEL,476,185,321,209,,,,,,,,,,,,,,
MYFHXSIL,437,198,212,199,343,171,245,120,,,,,,,,,,
BTUWU,553,547,291,134,387,,,,,,,,,,,,,
MYFHXGEL,217,217,213,173,268,154,183,128,,,,,,,,,,
MYEL,433,186,211,367,,,,,,,,,,,,,,
MYFRDNMNUSZ,286,157,200,137,107,157,66,37,247,142,983,,,,,,,
GXGERDNUWUSIL,302,232,78,195,152,70,265,140,111,121,118,178,99,,,,,
MYEL,706,143,222,939,,,,,,,,,,,,,,
MYFHXSIL,440,255,131,254,229,170,310,95,,,,,,,,,,
MYFHXGFHXSI,265,287,157,242,263,140,182,138,430,195,124,,,,,,,
MYFHXGFHXSI,347,250,153,165,215,104,97,250,223,167,111,,,,,,,
GXGE,387,305,141,127,,,,,,,,,,,,,,
BTUWU,359,237,342,135,108,,,,,,,,,,,,,
BTUS,601,179,263,246,,,,,,,,,,,,,,
MYFHXGFHXSI,230,235,150,215,242,124,206,170,282,145,123,,,,,,,
MYFHRDNUWUS,258,317,179,159,134,88,314,122,120,104,262,,,,,,,
BTUWUWU,339,414,150,125,388,123,350,,,,,,,,,,,
MYEL,370,152,222,376,,,,,,,,,,,,,,
MYFHXGEL,301,268,212,127,237,100,182,137,,,,,,,,,,
MYFHXS,477,261,95,259,230,439,,,,,,,,,,,,
MYFHXGEL,242,301,173,164,249,118,175,256,,,,,,,,,,
MYFHXS,281,244,171,173,245,707,,,,,,,,,,,,
BUS,1060,252,817,,,,,,,,,,,,,,,
BUWUWUWU,627,294,110,504,127,361,123,286,,,,,,,,,,
