string,duration_1,duration_2,duration_3,duration_4,duration_5,duration_6,duration_7,duration_8,duration_9,duration_10,duration_11,duration_12,duration_13,duration_14,duration_15,duration_16,duration_17,duration_18
MYFHDNUSXGFHXSIL,337,260,192,189,123,319,199,59,269,226,120,212,262,126,112,60,,
MYFHXGFHXSI,272,297,172,159,307,133,119,212,335,117,133,,,,,,,
BTUS,466,287,216,201,,,,,,,,,,,,,,
MYEL,405,155,361,957,,,,,,,,,,,,,,
BTNMNUW,458,191,88,61,59,279,136,,,,,,,,,,,
BTUSIL,353,237,258,121,171,169,,,,,,,,,,,,
MYFHRDNTUWU,212,255,173,155,152,87,201,337,247,98,83,,,,,,,
GXGEL,361,218,139,279,140,,,,,,,,,,,,,
BTNMUWU,363,183,114,98,126,105,96,,,,,,,,,,,
MYFHXGFHXGFHXSI,258,289,168,203,248,97,119,207,327,126,101,215,276,149,126,,,
BTUWUSFXS,386,259,143,86,116,118,31,271,211,,,,,,,,,
MYFHXGFHXSIL,337,286,154,169,255,99,137,211,329,149,176,91,,,,,,
MYFHXSIL,296,337,150,205,288,157,150,80,,,,,,,,,,
MYEL,383,175,370,213,,,,,,,,,,,,,,
MYEL,418,157,417,1085,,,,,,,,,,,,,,
BTUSZ,344,229,250,168,146,,,,,,,,,,,,,
MYFHXGE,233,326,148,204,243,142,172,,,,,,,,,,,
MYEL,416,151,267,643,,,,,,,,,,,,,,
MYFHDNMUWUSIL,228,140,173,112,91,173,96,132,90,110,165,180,127,,,,,
MYE,388,153,363,,,,,,,,,,,,,,,
BTNMNMN,600,141,358,52,877,48,213,,,,,,,,,,,
MYFHRDNTU,254,287,151,117,134,82,189,162,308,,,,,,,,,
MYFXGE,372,321,204,329,95,239,,,,,,,,,,,,
MYFHXSIL,269,164,133,215,249,129,157,92,,,,,,,,,,
GXGFHXGHX,515,278,130,163,335,325,115,180,778,,,,,,,,,
MYFHRDNMNUWUSIL,236,261,136,120,130,78,137,68,73,138,103,102,180,155,128,,,
MYFHRDNMUWUS,222,302,188,199,135,111,131,95,141,97,93,601,,,,,,
BTUS,331,226,250,962,,,,,,,,,,,,,,
BTNMNUWUSZ,504,254,78,72,269,133,123,118,134,93,,,,,,,,
BTNUWU,344,224,312,318,106,231,,,,,,,,,,,,
MYEL,395,154,265,323,,,,,,,,,,,,,,
BTUWUWU,293,233,310,96,378,123,483,,,,,,,,,,,
MYFHXGFHXSI,331,308,172,294,283,138,138,174,284,132,107,,,,,,,
BTUSZ,426,299,194,155,82,,,,,,,,,,,,,
BTUWUSZ,419,206,130,79,161,157,199,,,,,,,,,,,
MYFHXGFHXSI,661,159,155,211,333,122,160,219,537,163,550,,,,,,,
MYFHXGEL,229,307,135,170,293,116,179,98,,,,,,,,,,
BTUWU,375,560,129,99,120,,,,,,,,,,,,,
MYFEGXGEL,242,183,185,159,688,215,157,233,131,,,,,,,,,
BTUSZ,613,152,232,149,1248,,,,,,,,,,,,,
GXGF,948,255,94,191,,,,,,,,,,,,,,
ERDNMNUW,248,110,91,229,70,147,114,109,,,,,,,,,,
MYFHDNTUWUSIL,164,296,153,147,137,231,214,160,78,80,140,210,121,,,,,
BTUSIL,557,197,254,189,182,162,,,,,,,,,,,,
BTUWUWU,399,239,340,114,628,105,416,,,,,,,,,,,
MYFHRDNUS,254,300,177,329,124,91,231,180,200,,,,,,,,,
BTUWU,290,601,132,97,359,,,,,,,,,,,,,
MYEL,468,300,217,1021,,,,,,,,,,,,,,
G,200,,,,,,,,,,,,,,,,,
RDNUSZ,128,97,334,229,140,225,,,,,,,,,,,,
MYFHRDNMNUWUSIL,235,265,159,74,126,93,127,59,56,122,82,107,167,204,119,,,
B,149,,,,,,,,,,,,,,,,,
BTUWU,307,192,301,106,318,,,,,,,,,,,,,
BTUS,1168,164,218,585,,,,,,,,,,,,,,
TBTUWUWUWUWUWU,250,288,170,305,109,618,129,408,108,335,102,487,91,126,,,,
MYFHXGHXSIL,325,305,174,285,250,120,277,259,149,226,90,,,,,,,
MYFHXSIL,373,325,187,250,271,171,270,122,,,,,,,,,,
MYFHXSIL,343,272,169,205,402,183,201,120,,,,,,,,,,
BTUWUWUWUWU,371,318,309,95,198,143,566,95,561,93,37,,,,,,,
MYFHDNUSZ,250,286,177,145,68,308,211,131,333,,,,,,,,,
BTUS,345,200,299,1089,,,,,,,,,,,,,,
RDNUSZ,131,92,192,261,173,1318,,,,,,,,,,,,
MYFHXG,245,255,192,168,246,94,,,,,,,,,,,,
DNTUWUWU,84,288,127,124,112,307,105,322,,,,,,,,,,
BTUWU,291,445,137,85,141,,,,,,,,,,,,,
MYFHDNMNMNMNUWUSIL,220,313,153,237,84,234,41,322,51,475,64,180,121,84,89,154,185,90
MYEL,449,155,220,414,,,,,,,,,,,,,,
RDNUWUSIL,122,83,136,141,99,112,165,185,92,,,,,,,,,
RDNTUS,121,87,198,138,252,843,,,,,,,,,,,,
BTUS,413,164,217,1082,,,,,,,,,,,,,,
MYFHX,620,156,169,257,1193,,,,,,,,,,,,,
SIL,200,397,90,,,,,,,,,,,,,,,
BTUS,779,195,258,615,,,,,,,,,,,,,,
BTUSIL,747,171,250,232,371,120,,,,,,,,,,,,
RDNTUWUWU,129,62,222,130,315,96,215,97,288,,,,,,,,,
